,open,close,high,low,volume,money
2014-06-25,3.1,3.14,3.19,3.09,5919913.0,18640148.0
2014-06-26,3.16,3.14,3.16,3.14,3359398.0,10571541.0
2014-06-27,3.15,3.18,3.2,3.14,5496390.0,17474552.0
2014-06-30,3.18,3.19,3.21,3.17,4731444.0,15069788.0
2014-07-01,3.2,3.22,3.23,3.19,4493931.0,14421348.0
2014-07-02,3.22,3.22,3.23,3.19,5275865.0,16953652.0
2014-07-03,3.23,3.26,3.27,3.23,8728062.0,28381066.0
2014-07-04,3.26,3.23,3.27,3.21,4621970.0,14933931.0
2014-07-07,3.23,3.19,3.23,3.18,4285333.0,13715823.0
2014-07-08,3.19,3.21,3.21,3.18,3151555.0,10065068.0
2014-07-09,3.2,3.19,3.25,3.18,5396662.0,17321072.0
2014-07-10,3.18,3.18,3.2,3.17,4060202.0,12922356.0
2014-07-11,3.18,3.21,3.21,3.16,4021997.0,12842350.0
2014-07-14,3.21,3.23,3.23,3.19,4804793.0,15439644.0
2014-07-15,3.23,3.25,3.26,3.22,6642830.0,21528234.0
2014-07-16,3.25,3.3,3.4,3.25,17699440.0,58869488.0
2014-07-17,3.29,3.29,3.32,3.28,7969491.0,26252926.0
2014-07-18,3.28,3.31,3.32,3.27,5684834.0,18762432.0
2014-07-21,3.31,3.29,3.31,3.27,3623339.0,11897096.0
2014-07-22,3.28,3.32,3.32,3.26,7077381.0,23341502.0
2014-07-23,3.3,3.3,3.32,3.28,7063626.0,23311182.0
2014-07-24,3.3,3.34,3.35,3.3,9836576.0,32716048.0
2014-07-25,3.35,3.38,3.4,3.34,8867970.0,29889248.0
2014-07-28,3.38,3.45,3.49,3.38,19813318.0,68431552.0
2014-07-29,3.47,3.44,3.47,3.43,9630323.0,33187132.0
2014-07-30,3.44,3.43,3.44,3.4,9158762.0,31329676.0
2014-07-31,3.43,3.42,3.44,3.39,9807880.0,33469012.0
2014-08-01,3.42,3.49,3.49,3.39,24394942.0,83975816.0
2014-08-04,3.47,3.57,3.6,3.46,33532008.0,118728536.0
2014-08-05,3.57,3.55,3.6,3.53,17997396.0,64087732.0
2014-08-06,3.55,3.59,3.62,3.53,21708036.0,77758664.0
2014-08-07,3.59,3.5,3.59,3.49,16956982.0,59891660.0
2014-08-08,3.5,3.48,3.53,3.45,9076394.0,31608664.0
2014-08-11,3.48,3.52,3.53,3.48,9940857.0,34934844.0
2014-08-12,3.52,3.51,3.54,3.49,7087346.0,24868608.0
2014-08-13,3.51,3.5,3.54,3.47,10061668.0,35252104.0
2014-08-14,3.5,3.54,3.62,3.48,22141694.0,78755032.0
2014-08-15,3.53,3.54,3.55,3.5,12582376.0,44338960.0
2014-08-18,3.54,3.55,3.57,3.52,9798150.0,34709076.0
2014-08-19,3.55,3.54,3.56,3.51,9607825.0,33990524.0
2014-08-20,3.53,3.55,3.56,3.52,9698591.0,34334740.0
2014-08-21,3.55,3.51,3.55,3.48,9897331.0,34702104.0
2014-08-22,3.51,3.52,3.53,3.47,10636432.0,37214568.0
2014-08-25,3.52,3.49,3.52,3.48,8569035.0,29949176.0
2014-08-26,3.48,3.43,3.52,3.42,11158160.0,38629740.0
2014-08-27,3.41,3.43,3.45,3.4,6891044.0,23622768.0
2014-08-28,3.48,3.41,3.48,3.4,7553399.0,25986576.0
2014-08-29,3.42,3.48,3.51,3.41,10453624.0,36255376.0
2014-09-01,3.48,3.56,3.56,3.48,13177984.0,46608524.0
2014-09-02,3.59,3.7,3.71,3.56,45550300.0,165816032.0
2014-09-03,3.7,4.07,4.07,3.7,49362852.0,195752912.0
2014-09-04,4.21,4.02,4.21,3.95,81257624.0,327714688.0
